Cantidad a la mano;Cantidad pronosticada;Costo;Decoración de la actividad de excepción;Etiquetas de la plantilla del producto;Favorito;Nombre;Precio de venta;Referencia interna
0.00;-3.00;14.09;;;Normal;Aceite Vegetal;27.52;REF0010
0.00;-2.00;1.16;;;Normal;Aceite Vegetal;25.61;REF0060
0.00;-17.00;7.25;;;Normal;Acondicionador;3.87;REF0039
0.00;0.00;25.31;;;Normal;Acondicionador;44.35;REF0089
0.00;-3.00;22.22;;;Normal;Agua Purificada;4.71;REF0065
0.00;-4.00;29.46;;;Normal;Agua Purificada;28.07;REF0015
0.00;-1.00;21.88;;;Normal;Arroz Blanco;1.98;REF0052
0.00;-4.00;19.89;;;Normal;Arroz Blanco;20.97;REF0002
0.00;-1.00;9.80;;;Normal;Avena;45.32;REF0025
0.00;-1.00;25.86;;;Normal;Avena;28.45;REF0075
0.00;0.00;22.91;;;Normal;Azúcar;32.92;REF0012
0.00;-1.00;20.80;;;Normal;Azúcar;45.61;REF0062
0.00;-1.00;15.18;;;Normal;Bolsas Plásticas;7.61;REF0092
0.00;-1.00;9.71;;;Normal;Bolsas Plásticas;21.82;REF0042
0.00;-1.00;9.70;;;Normal;Café;33.67;REF0013
0.00;0.00;27.04;;;Normal;Café;38.46;REF0063
0.00;-1.00;19.42;;;Normal;Carne Molida;22.93;REF0008
0.00;-1.00;14.88;;;Normal;Carne Molida;32.27;REF0058
0.00;-1.00;15.64;;;Normal;Cepillo de Dientes;31.33;REF0036
0.00;-1.00;7.74;;;Normal;Cepillo de Dientes;35.86;REF0086
0.00;-1.00;14.45;;;Normal;Cereal;28.50;REF0023
0.00;-1.00;25.01;;;Normal;Cereal;30.96;REF0073
0.00;0.00;24.68;;;Normal;Cloro;17.09;REF0045
0.00;-1.00;7.06;;;Normal;Cloro;43.37;REF0095
0.00;-1.00;5.16;;;Normal;Desinfectante;5.52;REF0035
0.00;-1.00;6.95;;;Normal;Desinfectante;11.93;REF0085
0.00;-1.00;28.43;;;Normal;Detergente;13.28;REF0081
0.00;-1.00;9.43;;;Normal;Detergente;20.58;REF0031
0.00;-1.00;25.78;;;Normal;Escoba;28.77;REF0048
0.00;-2.00;26.42;;;Normal;Escoba;14.18;REF0098
0.00;-2.00;3.58;;;Normal;Esponjas;42.18;REF0046
0.00;0.00;8.41;;;Normal;Esponjas;40.91;REF0096
0.00;0.00;12.44;;;Normal;Frijoles Negros;13.50;REF0053
0.00;-2.00;18.22;;;Normal;Frijoles Negros;48.34;REF0003
0.00;0.00;5.47;;;Normal;Fósforos;44.87;REF0093
0.00;-2.00;19.35;;;Normal;Fósforos;27.49;REF0043
0.00;0.00;3.90;;;Normal;Galletas;45.18;REF0068
0.00;-2.00;25.93;;;Normal;Galletas;44.48;REF0018
0.00;0.00;21.24;;;Normal;Guantes de Limpieza;5.39;REF0100
0.00;-3.00;4.77;;;Normal;Guantes de Limpieza;41.21;REF0050
0.00;-1.00;0.88;;;Normal;Harina de Trigo;23.08;REF0074
0.00;-1.00;18.60;;;Normal;Harina de Trigo;29.79;REF0024
0.00;0.00;19.11;;;Normal;Huevos;43.79;REF0055
0.00;-2.00;28.94;;;Normal;Huevos;6.54;REF0005
0.00;-1.00;28.75;;;Normal;Jabón en Barra;45.91;REF0032
0.00;0.00;6.40;;;Normal;Jabón en Barra;42.95;REF0082
0.00;-1.00;16.57;;;Normal;Jugo de Naranja;27.78;REF0016
0.00;-1.00;4.35;;;Normal;Jugo de Naranja;20.38;REF0066
0.00;0.00;2.85;;;Normal;Kétchup;15.00;REF0077
0.00;-2.00;6.11;;;Normal;Kétchup;31.79;REF0027
0.00;-2.00;27.76;;;Normal;Leche Entera;5.03;REF0054
0.00;-1.00;23.75;;;Normal;Leche Entera;3.81;REF0004
0.00;-1.00;13.61;;;Normal;Mantequilla;35.94;REF0070
0.00;-2.00;15.02;;;Normal;Mantequilla;27.86;REF0020
0.00;-1.00;15.39;;;Normal;Mayonesa;21.97;REF0076
0.00;0.00;9.03;;;Normal;Mayonesa;7.87;REF0026
0.00;-1.00;3.45;;;Normal;Mostaza;6.61;REF0078
0.00;-1.00;28.52;;;Normal;Mostaza;10.03;REF0028
0.00;0.00;23.32;;;Normal;Pan Integral;28.94;REF0051
0.00;-1.00;6.31;;;Normal;Pan Integral;27.88;REF0001
0.00;-1.00;9.14;;;Normal;Papel Higiénico;29.62;REF0083
0.00;-2.00;0.86;;;Normal;Papel Higiénico;45.85;REF0033
0.00;0.00;11.83;;;Normal;Pasta;20.80;REF0021
0.00;-1.00;10.38;;;Normal;Pasta;45.58;REF0071
0.00;-1.00;22.84;;;Normal;Pasta Dental;49.29;REF0037
0.00;0.00;11.62;;;Normal;Pasta Dental;8.27;REF0087
0.00;0.00;2.82;;;Normal;Pescado;47.73;REF0059
0.00;-1.00;18.31;;;Normal;Pescado;35.02;REF0009
0.00;-1.00;8.93;;;Normal;Pollo;14.29;REF0007
0.00;-1.00;8.27;;;Normal;Pollo;26.29;REF0057
0.00;0.00;25.99;;;Normal;Queso;4.15;REF0056
0.00;0.00;4.81;;;Normal;Queso;46.99;REF0006
0.00;-2.00;25.28;;;Normal;Rastrillos;17.60;REF0090
0.00;0.00;21.83;;;Normal;Rastrillos;38.60;REF0040
0.00;-1.00;16.95;;;Normal;Recolector de Basura;22.36;REF0099
0.00;0.00;9.69;;;Normal;Recolector de Basura;10.42;REF0049
0.00;0.00;12.67;;;Normal;Sal;17.33;REF0011
0.00;-1.00;9.19;;;Normal;Sal;49.87;REF0061
0.00;0.00;14.40;;;Normal;Salsa de Tomate;31.98;REF0080
0.00;-1.00;25.10;;;Normal;Salsa de Tomate;10.70;REF0030
